
torch.Size([4, 143]) tensor(12.2156, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 115]) tensor(5.9499, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 160]) tensor(3.8742, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 171]) tensor(7.1579, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 176]) tensor(4.5052, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 174]) tensor(8.4854, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 415]) tensor(5.3150, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 180]) tensor(6.3085, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 170]) tensor(8.5501, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 567]) tensor(2.8668, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 363]) tensor(1.5014, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 183]) tensor(4.9903, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 438]) tensor(2.5212, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 314]) tensor(1.7010, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 538]) tensor(7.1988, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 409]) tensor(9.1832, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 243]) tensor(3.6358, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 395]) tensor(3.9974, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 652]) tensor(5.5273, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 208]) tensor(3.1028, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 37]) tensor(5.4125, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 248]) tensor(0.7760, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 332]) tensor(4.2580, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 258]) tensor(8.4410, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 325]) tensor(3.6324, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 203]) tensor(2.8818, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 350]) tensor(5.9781, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 651]) tensor(4.6688, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 397]) tensor(8.6530, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 98]) tensor(13.4460, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 219]) tensor(2.3344, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 437]) tensor(4.4339, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 231]) tensor(0.7081, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 263]) tensor(0.5126, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 382]) tensor(3.0413, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 581]) tensor(1.1010, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 273]) tensor(0.7337, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 165]) tensor(2.2020, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 71]) tensor(1.6095, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 188]) tensor(3.1335, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 262]) tensor(0.5886, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 177]) tensor(0.7760, device='cuda:2', grad_fn=<NllLossBackward0>)
torch.Size([4, 227]) tensor(4.1993, device='cuda:2', grad_fn=<NllLossBackward0>)
